Cycle,Real Time,Timestamp,Latitude,Longitude,Speed(km/h),Heading,Distance Pass,Distance(m),Update Time Pass,Update Time Difference(s),Heading Pass,Heading Difference(deg),Result,Reason
1,2026-05-19 04:53:54.954121,09:15:00+00:00,37.422718333333336,-122.08379166666667,16.205000000000002,108.3,True,0.7376374653222858,True,,True,0.0,PASS,matching track
1,2026-05-19 04:53:55.457481,09:15:01+00:00,37.422705,-122.08374333333333,16.22352,108.38,True,0.7376375973730316,True,1.0,True,0.0799999999999983,PASS,matching track
1,2026-05-19 04:53:55.959607,09:15:02+00:00,37.422695,-122.083695,16.22352,112.94,True,0.7604771444970088,True,1.0,True,0.14999999999999147,PASS,matching track
1,2026-05-19 04:53:56.462796,09:15:03+00:00,37.42267833333333,-122.08364833333333,16.27908,116.55,True,0.7604773055955596,True,1.0,True,0.23000000000000398,PASS,matching track
1,2026-05-19 04:53:56.965654,09:15:04+00:00,37.42266,-122.08360166666667,16.297600000000003,116.31,True,0.7604774779277278,True,1.0,True,0.009999999999990905,PASS,matching track
1,2026-05-19 04:53:57.469602,09:15:05+00:00,37.42264333333333,-122.08355666666667,16.33464,116.27,True,0.7604776369062116,True,1.0,True,0.04999999999999716,PASS,matching track
1,2026-05-19 04:53:57.972199,09:15:06+00:00,37.422626666666666,-122.08351,16.353160000000003,116.34,True,0.8252119805649195,True,1.0,True,0.020000000000010232,PASS,matching track
1,2026-05-19 04:53:58.475020,09:15:07+00:00,37.42261,-122.083465,16.353160000000003,115.56,True,4.9473828530503745,True,1.0,True,0.3299999999999983,PASS,matching track
1,2026-05-19 04:53:58.977542,09:15:08+00:00,37.42259166666667,-122.08341833333333,16.3902,107.86,True,0.8252122873694494,True,1.0,True,0.5799999999999983,PASS,matching track
1,2026-05-19 04:53:59.479853,09:15:09+00:00,37.42258,-122.08337,16.37168,101.51,True,0.8252123899910244,True,1.0,True,0.6400000000000006,PASS,matching track
1,2026-05-19 04:53:59.982505,09:15:10+00:00,37.42257166666667,-122.08332,16.33464,67.35,True,0.8252124606168018,True,1.0,True,0.6999999999999886,PASS,matching track
1,2026-05-19 04:54:00.485605,09:15:11+00:00,37.42259,-122.08327333333334,16.445760000000003,36.54,True,0.9230687374344099,True,1.0,True,0.7100000000000009,PASS,matching track
1,2026-05-19 04:54:00.988131,09:15:12+00:00,37.422623333333334,-122.083245,16.445760000000003,36.63,True,0.81004670041695,True,1.0,True,0.8000000000000043,PASS,matching track
1,2026-05-19 04:54:01.491732,09:15:13+00:00,37.42265666666667,-122.083215,14.278920000000001,48.71,True,0.8100465115108848,True,1.0,True,0.8400000000000034,PASS,matching track
1,2026-05-19 04:54:01.994410,09:15:14+00:00,37.42268,-122.08318333333334,16.464280000000002,120.54,True,4.626209957039742,True,1.0,True,0.8800000000000097,PASS,matching track
1,2026-05-19 04:54:02.497973,09:15:15+00:00,37.42266,-122.08313833333334,16.4828,120.14,True,4.866937870700085,True,1.0,True,0.480000000000004,PASS,matching track
1,2026-05-19 04:54:03.001249,09:15:16+00:00,37.422641666666664,-122.08309333333334,16.4828,120.17,True,4.806809861285681,True,1.0,True,0.5100000000000051,PASS,matching track
1,2026-05-19 04:54:03.504345,09:15:17+00:00,37.422621666666664,-122.08305166666666,16.4828,120.2,True,4.526997079613246,True,1.0,True,0.5400000000000063,PASS,matching track
1,2026-05-19 04:54:04.007103,09:15:18+00:00,37.422601666666665,-122.08300666666666,16.33464,133.3,True,4.666670478336884,True,1.0,True,0.9800000000000182,PASS,matching track
1,2026-05-19 04:54:04.510338,09:15:19+00:00,37.422575,-122.08297,16.445760000000003,139.83,True,4.3046362824333135,True,1.0,True,0.9900000000000091,PASS,matching track
1,2026-05-19 04:54:05.012978,09:15:20+00:00,37.422545,-122.082935,16.4828,151.98,True,4.386648268984651,True,1.0,True,1.0,PASS,matching track
1,2026-05-19 04:54:05.515684,09:15:21+00:00,37.42250833333333,-122.08291166666666,16.149440000000002,159.74,True,4.168447157162673,True,1.0,True,1.0,PASS,matching track
1,2026-05-19 04:54:06.017696,09:15:22+00:00,37.42247166666667,-122.082895,16.464280000000002,176.19,True,3.7709555644784754,True,1.0,True,0.9900000000000091,PASS,matching track
1,2026-05-19 04:54:06.520320,09:15:23+00:00,37.42243166666667,-122.08289,16.445760000000003,176.18,True,3.772340837678302,True,1.0,True,0.25,PASS,matching track
1,2026-05-19 04:54:07.022946,09:15:24+00:00,37.42239,-122.082885,16.427239999999998,176.16,True,3.9539114967734212,True,1.0,True,0.22999999999998977,PASS,matching track
1,2026-05-19 04:54:07.525068,09:15:25+00:00,37.42235,-122.08288333333333,16.40872,176.14,True,3.725898973060724,True,1.0,True,0.20999999999997954,PASS,matching track
1,2026-05-19 04:54:08.028412,09:15:26+00:00,37.42231,-122.08287833333333,16.40872,176.84,True,3.7462882012993237,True,1.0,True,0.9099999999999966,PASS,matching track
1,2026-05-19 04:54:08.532258,09:15:27+00:00,37.422268333333335,-122.082875,16.3902,175.43,True,3.9096270248851535,True,1.0,True,0.020000000000010232,PASS,matching track
1,2026-05-19 04:54:09.036206,09:15:28+00:00,37.42222833333334,-122.08287,16.353160000000003,176.24,True,3.7462882518384952,True,1.0,True,0.3100000000000023,PASS,matching track
1,2026-05-19 04:54:09.539583,09:15:29+00:00,37.42218833333333,-122.08286833333334,16.27908,173.58,True,3.711266624658106,True,1.0,True,0.7900000000000205,PASS,matching track
1,2026-05-19 04:54:10.042737,09:15:30+00:00,37.42214666666667,-122.08286166666667,16.31612,166.66,True,3.929063027136681,True,1.0,True,0.7400000000000091,PASS,matching track
1,2026-05-19 04:54:10.545663,09:15:31+00:00,37.422108333333334,-122.08284833333333,16.130920000000003,160.47,True,3.7074187917222097,True,1.0,True,0.6899999999999977,PASS,matching track
1,2026-05-19 04:54:11.049017,09:15:32+00:00,37.42207,-122.08283333333334,16.260559999999998,149.45,True,3.7569875865982993,True,1.0,True,0.6299999999999955,PASS,matching track
1,2026-05-19 04:54:11.552232,09:15:33+00:00,37.422035,-122.08280666666667,16.24204,148.54,True,3.8451946333851277,True,1.0,True,0.28000000000000114,PASS,matching track
1,2026-05-19 04:54:12.055108,09:15:34+00:00,37.42200166666667,-122.08278,16.22352,148.52,True,3.695455962161788,True,1.0,True,0.29999999999998295,PASS,matching track
1,2026-05-19 04:54:12.557869,09:15:35+00:00,37.42196666666667,-122.08275166666667,16.18648,148.51,True,3.931951026696835,True,1.0,True,0.3100000000000023,PASS,matching track
1,2026-05-19 04:54:13.060679,09:15:36+00:00,37.421931666666666,-122.08272666666667,16.16796,148.44,True,3.7622274574267407,True,1.0,True,0.3599999999999852,PASS,matching track
1,2026-05-19 04:54:13.563695,09:15:37+00:00,37.42189666666667,-122.0827,16.09388,153.33,True,3.762227970053844,True,1.0,True,0.29000000000002046,PASS,matching track
1,2026-05-19 04:54:14.066725,09:15:38+00:00,37.42186,-122.08267666666667,16.05684,159.5,True,3.770962019395354,True,1.0,True,0.21999999999999886,PASS,matching track
1,2026-05-19 04:54:14.569376,09:15:39+00:00,37.421821666666666,-122.08266,16.09388,167.7,True,3.8832191986684435,True,1.0,True,0.13999999999998636,PASS,matching track
1,2026-05-19 04:54:15.071408,09:15:40+00:00,37.42178166666667,-122.08265,16.0198,179.72,True,3.909627031097664,True,1.0,True,0.060000000000002274,PASS,matching track
